username,password,email,first_name,last_name,credit_points,balance
nikos_liagkas7232,password7232,nikos_liagkas7232@mail.com,Nikos,Liagkas,75,100.46
apostolos_tzellas2259,password2259,apostolos_tzellas2259@mail.com,Apostolos,Tzellas,214,104.48
alexandros_mixos8208,password8208,alexandros_mixos8208@mail.com,Alexandros,Mixos,80,21.31
giannis_komnas1261,password1261,giannis_komnas1261@mail.com,Giannis,Komnas,100,57.47
markos_bourdakos8000,password8000,markos_bourdakos8000@mail.com,Markos,Bourdakos,251,24.88
alexandra_kappa6645,password6645,alexandra_kappa6645@mail.com,Alexandra,Kappa,354,18.71
katerina_liagka5423,password5423,katerina_liagka5423@mail.com,Katerina,Liagka,52,110.68
orestis_mper1383,password1383,orestis_mper1383@mail.com,Orestis,Mper,133,35.5
dimitris_papadopoulos6688,password6688,dimitris_papadopoulos6688@mail.com,Dimitris,Papadopoulos,26,40.57
giorgos_nikolaidis1560,password1560,giorgos_nikolaidis1560@mail.com,Giorgos,Nikolaidis,418,55.22
konstantinos_georgiou9124,password9124,konstantinos_georgiou9124@mail.com,Konstantinos,Georgiou,276,85.19
panagiotis_dimitriou3149,password3149,panagiotis_dimitriou3149@mail.com,Panagiotis,Dimitriou,107,22.28
christos_konstantinou4275,password4275,christos_konstantinou4275@mail.com,Christos,Konstantinou,299,62.71
andreas_christodoulou2685,password2685,andreas_christodoulou2685@mail.com,Andreas,Christodoulou,120,118.99
stefanos_ioannidis5294,password5294,stefanos_ioannidis5294@mail.com,Stefanos,Ioannidis,109,163.88
manolis_papanikolaou3595,password3595,manolis_papanikolaou3595@mail.com,Manolis,Papanikolaou,154,148.79
spyros_anastasiou8317,password8317,spyros_anastasiou8317@mail.com,Spyros,Anastasiou,278,52.11
vasilis_karagiannis8174,password8174,vasilis_karagiannis8174@mail.com,Vasilis,Karagiannis,488,42.73
thodoris_vlahos5135,password5135,thodoris_vlahos5135@mail.com,Thodoris,Vlahos,455,19.81
vaggelis_stavropoulos3425,password3425,vaggelis_stavropoulos3425@mail.com,Vaggelis,Stavropoulos,166,75.85
petros_mantalos6159,password6159,petros_mantalos6159@mail.com,Petros,Mantalos,448,129.13
achilleas_raptis1898,password1898,achilleas_raptis1898@mail.com,Achilleas,Raptis,342,115.91
iasonas_makris9483,password9483,iasonas_makris9483@mail.com,Iasonas,Makris,27,199.59
agamemnonas_zografos6754,password6754,agamemnonas_zografos6754@mail.com,Agamemnonas,Zografos,360,0.03
